song_name,artist_name,album_name,release_date,song_id,danceability,energy,tempo,key
Love Reigns,Mall Grab,What I Breathe,2022-08-05,7CGkR8BkFkvzrEXWYWB9gw,,,,
Last Last,Burna Boy,"Love, Damini",2022-07-06,57DarSfRMIVRCeDBGW0l5S,,,,
Easy Lover,Philip Bailey,Chinese Wall,1985-03-20,7INi4pMPG4IE0Smx5y4KVf,,,,
Jerk It Out,Caesars,Love For The Streets,2002,5XMjXjwCkJVmk0AHm7z8IV,,,,
Stereo Love,Edward Maya,Stereo Love,2009-07-07,0gBfLS4aqbrr1ZvVv8dqWB,,,,
Love Come Down,"Evelyn ""Champagne"" King",Get Loose,1982-06-26,17EVu5b0l5uo2gErSfqEt1,,,,
Loved You A Little (with Taking Back Sunday and Charlotte Sands),The Maine,Loved You A Little (with Taking Back Sunday and Charlotte Sands),2022-01-20,0IPKskRI33eRXjUhNUr9b5,,,,
Love Like Crazy,Lee Brice,Love Like Crazy,2010-06-08,6Ozp6ac86CSHMik8lbvJuM,,,,
Lover/Friend,KAYTRANADA,Lover/Friend,2023-11-30,5ahq8vkzMznGmfN2EVOukP,,,,
Love & War (feat. Yade Lauren) [Yellow Claw G-Funk Remix],Yellow Claw,Los Amsterdam (The Remixes Pt.1),2017-09-06,36xxTneGkCyHvta4tFGfVC,,,,
Love Speakeasy,Reflection Eternal,Train Of Thought,2000-10-17,6eXpxFGhRMssC5XnaxEhMu,,,,
Hate It Or Love It,The Game,The Documentary,2005,2wGSgTmgSF3xjRrHkTc25R,,,,
Send My Love (To Your New Lover),Adele,25,2015-11-20,563SfWAHJs4FBZMkRN0IFN,,,,
Let Your Love Flow,The Bellamy Brothers,Bellamy Brothers,1976-07-01,064SVQsmWl5EF0zahmzkQk,,,,
Love Songs on the Radio,Mojave 3,Ask Me Tomorrow,1995-10-16,3FzK2g50oLcx8vqETwOn07,,,,
Love Is an Open Door,Disney Peaceful Piano,Disney Princess Piano,2021-09-24,0P0U1LfGMSxeAarJOpVa6U,,,,
Let Me Love You,Mario,Let Me Love You,2004-09-21,3ibKnFDaa3GhpPGlOUj7ff,,,,
Hollaback Girl,Gwen Stefani,Love Angel Music Baby,2004-11-22,6KM6693N1wVvz6tDviEF4F,,,,
Could You Be Loved,Bob Marley & The Wailers,Uprising,1980-06-10,5O4erNlJ74PIF6kGol1ZrC,,,,
Love Story,Taylor Swift,Fearless - Platinum Edition,2008-11-11,5hnJCRSo4pxRsaEwT9YusG,,,,
Love & War in Your Twenties,Jordy Searcy,Dark in the City,2018-02-15,14uhiVl5NwPDCmlRUgo4l6,,,,
Love Me Tender,Elvis Presley,Elvis 30 #1 Hits,2002-09-24,7iBBcw61QVJxI3NDzlpX2E,,,,
Love It Here,Moneybagg Yo,A Gangsta’s Pain,2021-04-23,0uiHv6ieCOkc9sE9ae3nDJ,,,,
Love Him I Don’t,Maisie Peters,You Signed Up For This,2021-08-27,3kTCyZKME2O8YatQ3Fjb72,,,,
Love Someone,Abigail Liddle,Love Someone,2024-06-28,2zRzCxvIGhaQ7Ra5aj3SBq,,,,
Love Potion Number 9,The Clovers,"Les idoles américaines du rhythm and blues : The Clovers, Vol. 1",2019-11-28,2AeGmIxYLKhTB123MPRDgo,,,,
772 Love,YNW Melly,772 Love,2017-10-16,230wNo1dnexltKYQbsW7oD,,,,
The Archer,Taylor Swift,Lover,2019-08-23,3pHkh7d0lzM2AldUtz2x37,,,,
LoveGame,Lady Gaga,The Fame,2008-01-01,0TcJ7QWpggdSg8t0fHThHm,,,,
Love For Da Strip (feat. Teeway),Jimmy,Risk It All,2022-07-07,4ps67pNQ1J3EUNh4nFlfvw,,,,
Love Is a Drug,Papithbk,Thbk.,2018-10-24,0Q06s7TNQH8irO2sfvuFnn,,,,
Love Me Off Earth (feat. Doss),SOPHIE,SOPHIE,2024-09-25,1eVhDzXiGDl1ShS4b38coU,,,,
So Much In Love,D.O.D,So Much In Love,2023-04-21,7DnI3ktF2vcmzKuCCKseQL,,,,
KEHLANI,Jordan Adetunji,,2024-06-24,2hrycoFU1mZw6YPvMcn8yC,,,,
NIGHTS LIKE THIS,The Kid LAROI,,2023-11-10,1XBYiRV30ykHw5f4wm6qEn,,,,
Not Like Us,Kendrick Lamar,,2024-05-04,6AI3ezQ4o3HUoP6Dhudph3,,,,
Big Dawgs,Hanumankind,,2024-07-09,0OA00aPt3BV10qeMIs3meW,,,,
Pink + White,Frank Ocean,,2016-08-20,3xKsf9qdS1CyvXSMEid6g8,,,,
ALL RED,Playboi Carti,,2024-09-13,2cZOYofOX4d6g0OXxkaIjA,,,,
See You Again (feat. Kali Uchis),"Tyler, The Creator",,2017-07-21,7KA4W4McWYRpgf0fWsJZWB,,,,
All The Stars (with SZA),Kendrick Lamar,,2018-02-09,3GCdLUSnKSMJhs4Tj6CV3s,,,,
One Dance,Drake,,2016-05-06,1zi7xx7UVEFkmKfv06H8x0,,,,
Houdini,Eminem,,2024-05-31,2HYFX63wP3otVIvopRS99Z,,,,
No Scrubs,TLC,,1999-02-23,1KGi9sZVMeszgZOWivFpxs,,,,
one of wun,Gunna,,2024-05-10,4Na2HfNSr58chvfX69fy36,,,,
Unforgettable,French Montana,,2017-07-14,3B54sVLJ402zGa6Xm4YGNe,,,,
No Role Modelz,J. Cole,,2014-12-09,68Dni7IE4VyPkTOH9mRWHr,,,,
Without Me,Eminem,,2002-05-26,7lQ8MOhq6IN2w8EYcFNSUk,,,,
Sprinter,Dave,,2023-06-01,2FDTHlrBguDzQkp7PVj16Q,,,,
Thinkin Bout You,Frank Ocean,,2012-07-10,7DfFc7a6Rwfi3YQMRbDMau,,,,
WAIT FOR U (feat. Drake & Tems),Future,,2022-04-29,59nOXPmaKlBfGMDeOVGrIK,,,,
All Falls Down,Kanye West,,2004-02-10,5SkRLpaGtvYPhw02vZhQQ9,,,,
Yeah! (feat. Lil Jon & Ludacris),USHER,,2004-03-23,5rb9QrpfcKFHM1EUbSIurX,,,,
Lost,Frank Ocean,,2012-07-10,3GZD6HmiNUhxXYf8Gch723,,,,
Love The Way You Lie,Eminem,,2010-06-18,15JINEqzVMv3SvJTAXAKED,,,,
Ivy,Frank Ocean,,2016-08-20,2ZWlPOoWh0626oTaHrnl2a,,,,
Hey Ya!,Outkast,,2003,2PpruBYCo4H7WOBJ7Q2EwM,,,,
Give Me Everything (feat. Nayer),Pitbull,,2011-06-17,4QNpBfC0zvjKqPJcyqBy9W,,,,
The Real Slim Shady,Eminem,,2000-05-23,3yfqSUWxFvZELEM4PmlwIR,,,,
BABY I'M BACK,The Kid LAROI,,2024-08-09,5kDgJffgJ0lYHTSiaXFWNw,,,,
Feel Good Inc.,Gorillaz,,2005-05-23,0d28khcov6AiegSCpG5TuT,,,,
Heartless,Kanye West,,2008-11-24,4ZMJshw6UOvaTWWThYtEoW,,,,
The Color Violet,Tory Lanez,,2021-12-10,3azJifCSqg9fRij2yKIbWz,,,,
Don't,Bryson Tiller,,2015-10-02,3pXF1nA74528Edde4of9CC,,,,
Falling Down - Bonus Track,Lil Peep,,2018-11-09,4jvjzW7Hm0yK4LvvE0Paz9,,,,
Homecoming,Kanye West,,2007-09-11,4iz9lGMjU1lXS51oPmUmTe,,,,
Flashing Lights,Kanye West,,2007-09-11,5TRPicyLGbAF2LGBFbHGvO,,,,
Gangsta's Paradise,Coolio,,1995-11-07,1DIXPcTDzTj8ZMHt3PDt8p,,,,
Mockingbird,Eminem,,2004-11-12,561jH07mF1jHuk7KlaeF0s,,,,
Location (feat. Burna Boy),Dave,,2019-03-08,3z4CGd63tpUn9a6oQSG0CI,,,,
fukumean,Gunna,,2023-06-16,4rXLjWdF2ZZpXCVTfWcshS,,,,
Ms. Jackson,Outkast,,2000-10-31,0I3q5fE6wg7LIfHGngUTnV,,,,
Time of Our Lives,Pitbull,,2014-11-21,2bJvI42r8EF3wxjOuDav4r,,,,
Like That,Future,,2024-03-22,2tudvzsrR56uom6smgOcSf,,,,
Father Stretch My Hands Pt. 1,Kanye West,,2016-06-10,4KW1lqgSr8TKrvBII0Brf8,,,,
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,,2023-08-18,3ZaEs1O8BG581qYPHpQ8d6,,,,
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,,2012-10-09,22skzmqfdWrjJylampe0kt,,,,
Lovin On Me,Jack Harlow,,2023-11-10,4xhsWYTOGcal8zt0J161CU,,,,
Gold Digger,Kanye West,,2005-01-01,3QHPHLAkYV5cQBUYs6rowx,,,,
In Da Club,50 Cent,,2003-02-06,7iL6o9tox1zgHpKUfh9vuC,,,,
Exchange,Bryson Tiller,,2015-10-02,43PuMrRfbyyuz4QpZ3oAwN,,,,
Les,Childish Gambino,,2011-11-15,0YsGMHid6sFq5PcToe3JZE,,,,
Ric Flair Drip (with Metro Boomin),Offset,,2017-10-30,7sO5G9EABYOXQKNPNiE9NR,,,,
Novacane,Frank Ocean,,2011-01-01,4osgfFTICMkcGbbigdsa53,,,,
Whatever She Wants,Bryson Tiller,,2024-02-13,57wp7VFnV8X0pSVnYArGeJ,,,,
Type Shit,Future,,2024-03-22,28drn6tQo95MRvO0jQEo5C,,,,
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,,2010-03-30,4356Typ82hUiFAynbLYbPn,,,,
Runaway,Kanye West,,2010-11-22,3DK6m7It6Pw857FcQftMds,,,,
Bound 2,Kanye West,,2013-06-18,3sNVsP50132BTNlImLx70i,,,,
PRIDE.,Kendrick Lamar,,2017-04-14,6IZvVAP7VPPnsGX6bvgkqg,,,,
Wet Dreamz,J. Cole,,2014-12-09,4tqcoej1zPvwePZCzuAjJd,,,,
Many Men (Wish Death),50 Cent,,2003-02-06,5STdMlrBf6pqWiNE7WqxSi,,,,
The Spins,Mac Miller,,2010-08-13,7FAFkQQZFeNwOFzTrSDFIh,,,,
Sundress,A$AP Rocky,,2018-11-20,2aPTvyE09vUCRwVvj0I8WK,,,,
Hypnotize - 2014 Remaster,The Notorious B.I.G.,,1997-03-04,7KwZNVEaqikRSBSpyhXK2j,,,,
Work Out,J. Cole,,2011-09-27,2wAJTrFhCnQyNSD3oUgTZO,,,,
Heartbeat,Childish Gambino,,2011-11-15,0zo4aX57COch7Wh3NRImTM,,,,
Till I Collapse,Eminem,,2002-05-26,4xkOaSrkexMciUUogZKVTS,,,,
HUMBLE.,Kendrick Lamar,,2017-04-14,7KXjTSCq5nL1LoYtL7XAwS,,,,
Lose Yourself,Eminem,,2004-01-01,1v7L65Lzy0j0vdpRjJewt1,,,,
Starships,Nicki Minaj,,2012-01-01,2EBCVPNAG46nbgs6jXPGvv,,,,
Miami,Will Smith,,1997-10-03,6e8Ou0wiqAzIpWb2eSxll8,,,,
Tough,Quavo,,2024-07-03,22DH8NChecsgPxDjA4pqer,,,,
Money Trees,Kendrick Lamar,,2012,74tLlkN3rgVzRqQJgPfink,,,,
Hate It Or Love It,The Game,,2005,2wGSgTmgSF3xjRrHkTc25R,,,,
Star Shopping,Lil Peep,,2015-08-17,1WbhIxkn5ECsOwUm795iX1,,,,
Ni**as In Paris,JAY-Z,,2011-08-08,1auxYwYrFRqZP7t3s7w4um,,,,
Timber,Pitbull,,2012,3tgZ9vmhuAY9wEoNUJskzV,,,,
Fuck Love,XXXTENTACION,,2017-08-25,7AQim7LbvFVZJE3O8TYgf2,,,,
Starlight,Dave,,2022-03-03,531KGXtBroSrOX9LVmiIgc,,,,
nuts,Lil Peep,,2015-12-02,4k3xDpAdBuM17mNNHhOZkK,,,,
Houdini,Eminem,,2024-07-12,1CDQzbCz4KSQxHe7LMEgRM,,,,
BEST INTEREST,"Tyler, The Creator",,2020-01-25,3jHdKaLCkuNEkWcLVmQPCX,,,,
Wild Ones (feat. Sia),Flo Rida,,2012-06-22,1NpW5kyvO4XrNJ3rnfcNy3,,,,
Violent Crimes,Kanye West,,2018-06-01,3s7MCdXyWmwjdcWh7GWXas,,,,
All Of The Lights,Kanye West,,2010-11-22,22L7bfCiAkJo5xGSQgmiIO,,,,
Still D.R.E.,Dr. Dre,,1999-11-16,503OTo2dSqe7qk76rgsbep,,,,
Run This Town,JAY-Z,,2009-09-08,7LR85XLWw2yXqKBSI5brbG,,,,
KEHLANI (REMIX) [feat. Kehlani],Jordan Adetunji,,2024-06-20,5Nt2FMqnKI2mlp7lztURNo,,,,
21 Questions,50 Cent,,2003-02-06,70FCugJxa7XW04Np6iYJdI,,,,
Passionfruit,Drake,,2017-03-18,5mCPDVBb16L4XQwDdbRUpz,,,,
Circadian Rhythm,Drake,,2024-08-30,1eroCliWpJrEu1V7VSObcO,,,,
redrum,21 Savage,,2024-01-12,52eIcoLUM25zbQupAZYoFh,,,,
Let Me Love You,Mario,,2004-03-15,7GaFYUqP2WdR4KTPk7cXoP,,,,
Stan,Eminem,,2000-05-23,3UmaczJpikHgJFyBTAJVoz,,,,
I Wonder,Kanye West,,2007-09-11,7rbECVPkY5UODxoOUVKZnA,,,,
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,,2023-10-06,1yeB8MUNeLo9Ek1UEpsyz6,,,,
Right My Wrongs,Bryson Tiller,,2015-10-02,5rgrBsAFYMun6yhtnLKRPz,,,,
Redbone,Childish Gambino,,2016-12-02,0WtDGnWL2KrMCk0mI1Gpwz,,,,
Stronger,Kanye West,,2007-09-11,0j2T0R9dR9qdJYsB7ciXhf,,,,
Empire State Of Mind,JAY-Z,,2009-09-08,2igwFfvr1OAGX9SKDCPBwO,,,,
Super Bass,Nicki Minaj,,2010-11-22,3hlksXnvbKogFdPbpO9vel,,,,
Godzilla (feat. Juice WRLD),Eminem,,2020-01-17,7FIWs0pqAYbP91WWM0vlTQ,,,,
Love,Keyshia Cole,The Way It Is,2005-01-01,0W4NhJhcqKCqEP2GIpDCDq,0.688,0.518,116.714,
Love Story,Taylor Swift,Fearless - Big Machine Radio Release Special,2008-11-11,1D4PL9B8gOg78jiHg3FvBb,0.617,0.741,118.984,
Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),2021-02-12,3CeCwYWvdfXbZLXFhBrbnf,0.626,0.79,119.082,
Love The Way You Lie,Eminem,Recovery,2010-06-18,15JINEqzVMv3SvJTAXAKED,0.749,0.925,86.989,
Lovely Day,Bill Withers,Menagerie,1977-10-29,0bRXwKfigvpKZUurwqAlEh,0.692,0.651,97.923,
Love Potions,BJ Lips,Cum n Cocaine,2021-08-02,6ZK4VMxfEYLPqpSvX2l4iY,0.66,0.833,121.982,
Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),2013-01-01,2XHzzp1j4IfTNp1FTn7YFg,0.67,0.634,124.926,
Love Yourself,Justin Bieber,Purpose (Deluxe),2015-11-13,50kpGaPAhYJ3sGmk6vplg0,0.609,0.378,100.43,
Lovefool,The Cardigans,First Band On The Moon (Remastered),1996-01-01,7aQjPecQdIuNd1sz3KCDhD,0.704,0.636,111.845,
Love Me JeJe,Tems,Love Me JeJe,2024-04-25,47hsUYxvbTlBAN3sP9dEOd,0.838,0.537,103.95,
Loveeeeeee Song,Rihanna,Unapologetic - Deluxe,2012-12-11,5Mk1tgVrSuoWWwPVFNS0jB,0.711,0.599,119.983,
Love Songs - Bonus,Kaash Paige,Parked Car Convos,2019-11-15,6qL5UWxRSQYml9O99ozoLv,0.64,0.355,120.063,
Love Me JeJe,Tems,Born in the Wild,2024-06-06,1eDI5oU04SLsXl0TfxfwYf,0.834,0.516,103.955,
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,2017-04-14,6PGoSes0D9eUDeeAafB2As,0.8,0.585,126.058,
Love Sosa,Chief Keef,Finally Rich,2012-01-01,01Lr5YepbgjXAWR9iOEyH1,0.772,0.413,131.964,
Love Me,Lil Tecca,We Love You Tecca,2019-08-30,4e0FYxSROat25pH16zMTZI,0.719,0.538,204.132,
Love On Top,Beyoncé,4,2011-06-24,1z6WtY7X4HQJvzxC4UgkSf,0.652,0.749,94.103,
Love Shack,The B-52's,Cosmic Thing,1989-06-23,4W4wYHtsrgDiivRASVOINL,0.701,0.803,133.608,
Love Song,Sara Bareilles,Little Voice,2007-07-03,4E6cwWJWZw2zWf7VFbH7wf,0.583,0.786,123.055,
Love Yourz,J. Cole,2014 Forest Hills Drive,2014-12-09,2e3Ea0o24lReQFR4FA7yXH,0.677,0.638,82.81,
Love Lost,Mac Miller,"I Love Life, Thank You",2022-07-22,2z9iuAxKv4TTeCrPAxxKg9,0.735,0.812,109.829,
Love Galore (feat. Travis Scott),SZA,Ctrl,2017-06-09,0q75NwOoFiARAVp4EXU4Bs,0.795,0.594,135.002,
Love Me Again,V,Layover,2023-08-11,2N0SPREDYqILVEFSsWF5N5,0.633,0.607,74.029,
Love$ick (feat. A$AP Rocky),Mura Masa,Mura Masa,2017-07-14,3sTN90bIP2cJ1783ctHykO,0.625,0.763,88.753,
Love Is Only a Feeling,Joey Bada$$,Love Is Only a Feeling,2017-07-06,7umZiitjVsEjMQ6HNddpUI,0.629,0.676,90.377,
love nwantiti (ah ah ah),CKay,CKay The First,2019-08-30,2Xr1dTzJee307rmrkt8c0g,0.727,0.739,93.005,
Love,Young Smokes,Love,2023-12-29,34bAi2WbKYwH04L4HCcalc,0.691,0.609,89.936,
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Kristen Bell,Frozen - Original Motion Picture Soundtrack / Deluxe Edition,2013-01-01,3IPnBzGRMg6BfViFxxa0Gq,0.737,0.636,100.033,
LoveGame,Lady Gaga,The Fame,2008-01-01,0eH2eHURaXUP15D8gQlfjx,0.894,0.678,105.029,
Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),2021-04-09,6YvqWjhGD8mB5QXcbcUKtx,0.627,0.792,119.054,
Love Me Anyway,Chappell Roan,Love Me Anyway,2020-05-01,53KWkwzQq47p13swqiLAMI,0.608,0.463,93.957,
Love Songs,Kaash Paige,lofi love,2021-07-23,0tziUvXJBqjdmV8gWxOjfV,0.64,0.355,120.063,
The Love Club,Lorde,The Love Club EP,2013-03-08,2HotTAoFiOYTeMZkNs1Ces,0.799,0.501,92.032,
Love at First Sight,Kylie Minogue,Fever,2001-10-01,0NMUFQdEFjftg0BQnyZCsh,0.603,0.774,124.994,
Love Story (vs Finally) - Tim Deluxe Radio Mix,Layo & Bushwacka!,Love Story (vs Finally),2003-01-13,5uiSORQVySTbbtuuJETfre,0.601,0.929,131.942,
Love Tonight (David Guetta Remix Edit),Shouse,Love Tonight (David Guetta Remix),2021-06-11,2prnn41CblB8B4yWACDljP,0.621,0.989,126.002,
Love Me Again,V,Layover,2023-09-08,0SftJDguUa1F5SsQwwkLw4,0.633,0.607,74.029,
Lovers In A Past Life (with Rag'n'Bone Man),Calvin Harris,Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,6v4ABPB255HDSWyIj3S9Wn,0.752,0.793,129.992,
Love You Like A Love Song,Selena Gomez & The Scene,When The Sun Goes Down,2011-01-01,0laYHRpNTS6i8FXdupHkJ4,0.858,0.678,117.009,
Love Is in the Air,John Paul Young,Classic Hits,2006-07-29,4v2K1ZcRXUc87CLtEXI3Pf,0.617,0.568,122.562,
Love,Mollis,Love,2024-09-04,1beRD6pbKW4rFT3kCNfvKo,0.734,0.0314,94.095,
Love,D-Block Europe,PTSD,2019-09-27,1P8k58vOnsO444yxjxGZt7,0.831,0.589,100.01,
Love,Kouz1,AFROBOY,2023-01-13,0H0KoHgEWXn2n6BFWSozzS,0.709,0.689,100.97,
Love,Musiq Soulchild,Aijuswanaseing,2000-11-14,7cNl9yAs9sScxAPIjM1fb4,0.586,0.386,99.76,
Lovesong - Remastered,The Cure,Disintegration (Deluxe Edition),1989-05-02,2mIrfke7vosXAEWfz6ucyo,0.611,0.791,140.12,
Love Lies (with Normani),Khalid,Love Lies (with Normani),2018-02-14,45Egmo7icyopuzJN0oMEdk,0.708,0.648,143.955,
Love You More,Snoop Dogg,Bosco (Original Motion Picture Soundtrack) - Side A,2024-09-27,6lA5ObZokEWqLzfvCAlSyr,0.695,0.577,94.183,
LOVELY BASTARDS,ZWE1HVNDXR,LOVELY BASTARDS,2023-08-25,0EqczV3o6fwksegAavIHpX,0.613,0.81,150.251,
Love,Imagine Dragons,Origins (Deluxe),2018-11-09,5d41vXH0zvpwUrHrmqKqDc,0.697,0.507,82.483,
Love,SWIM,Love,2020-10-15,3VFzHURuTvtVeUZW00rrLa,0.605,0.609,131.996,
Love Again,Dua Lipa,Future Nostalgia,2020-03-27,4rPkN1FMzQyFNP9cLUGIIB,0.659,0.667,115.982,
love,DEAN,love,2017-05-19,6wcRv0UBvEH9NCIA3IVyQs,0.582,0.67,109.993,
Love,Bunion,Love,2024-05-04,1XA18cBibnWZWgpPVHEDjV,0.587,0.543,140.499,
Love,INNA,Hot,2010,2S6PttqbENA5jscXyLcZIT,0.868,0.915,127.99,
Love,Keyshia Cole,The Way It Is,2005-01-01,2Mmid8aKghvsPgaQIFMrPJ,0.695,0.521,116.683,
Love Like This,Faith Evans,Keep the Faith,1998,7MQywXGHEev7JmwwIzMcao,0.767,0.551,100.904,
Good Love,Hannah Laing,Good Love,2023-05-12,0ZVjgfaC2Ptrod9v6p9KFP,0.777,0.821,140.039,
Love Is The Way,Thee Sacred Souls,Love Is The Way,2022-10-20,1CKfCj9izL24zGTrO6QTFE,0.666,0.498,96.69,
Love,Mos Def,Black On Both Sides,1999-10-12,1L6YNFDSQa8UjX7vzPXXD4,0.695,0.643,94.895,
love,lofi.samurai,oldies,2018-07-06,1vgH8Pxm88SZAtNDFj1pKT,0.864,0.482,133.23,
Love,Matt White,Best Days,2007-01-01,3mDvi0k4LuCA7ViLf3Qb3O,0.759,0.684,107.948,
Love Generation - Edit,Bob Sinclar,Love Generation (Edit),2005-06-20,7iee007QypdrTXbLVF5KuF,0.723,0.856,128.047,
Love Shy (Mix Cut),Kristine Blond,We Love House (Mini Mix 001) - Armada Music,2017-11-17,5fw2fT70XHmuzrLSKGTwnK,0.802,0.822,125.068,
Love,Greyboy,15 Years of West Coast Cool,2008-11-04,0iHvpSHYsp4tSrYlvgEh7l,0.851,0.414,102.807,
Love,Nix Northwest,"Life's a Bitch, I Just Need an Early Night",2019-10-18,6A4PeOJqTeI1dsP1r3aZf1,0.787,0.481,82.992,
Love,Subsonic,Love,2019-05-10,5K9xqmCCLkdtZv7E4CytzI,0.808,0.932,128.011,
Love Train,The O'Jays,Back Stabbers,1972-01-01,28285KFbyCq8sJofn58qlD,0.743,0.572,122.658,
Love,Air,Love 2,2009-10-05,3f3LIPVIMkRi5G11KtRvpl,0.758,0.511,102.5,
Love Language,SZA,SOS,2022-12-09,1eIXYZWEfJO3Na2LCCnIJE,0.707,0.261,65.038,
Love Machine,Girls Aloud,What Will The Neighbours Say?,2004-01-01,6SHvqMjPEQqyJaxuEzNcr3,0.663,0.95,116.015,
Love,Koe Wetzel,Noise Complaint,2016-08-17,12n0Z1dIlqXZYXx43MSHoG,0.626,0.475,124.131,
LOVE HURTS (with Lil Uzi Vert),Destroy Lonely,LOVE LASTS FOREVER,2024-08-30,20oVyPvaVROUvQi0Z9vgWg,0.683,0.701,111.943,
The Lovecats,The Cure,Japanese Whispers,1983-01-01,6q2T5xXao6mTS6LLE88L84,0.747,0.571,91.838,
Love To Last,Hajaj,Last Call For Coco,2021-11-05,492FG3XeaSPRftcsu8vD9k,0.768,0.283,75.935,
Love,The Art Of Noise,Daft,1986-12-15,1kSORioLYEnTW7VEuBAoFG,0.733,0.374,136.498,
Love All (with JAY-Z),Drake,Certified Lover Boy,2021-09-03,4VCbgIdr8ptegWeJpqLVHH,0.73,0.576,92.131,
Lovers on the Sun (feat. Sam Martin),David Guetta,Listen,2014-11-10,2rgtCOVK2tpfao2VjURn84,0.645,0.891,124.915,
Love,Destiny's Child,Destiny Fulfilled,2004,3lndCdSUURZClwC37tMjKc,0.641,0.381,81.127,
Love Me Like You,Little Mix,Get Weird (Expanded Edition),2015-11-06,6L2uVVPJA9WcDc7zCZ4DHN,0.783,0.63,106.053,
Love,EKKSTACY,Love,2020-08-07,3ieYbUAeEknL78oe4mcyBP,0.719,0.247,115.251,
Love Like You (feat. Rebecca Sugar) - End Credits,Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",2017-06-02,3z9OnsnvM6SFN2dzrSDdVO,0.591,0.242,118.001,
Lové,Emma Peters,Dimanche,2022-03-25,53g4gARwjJHVGIqMLAKcYl,0.888,0.541,122.982,
Love,D3AD,Real...,2024-02-09,2YACkh1XNTqz6orqCG2JHm,0.607,0.338,39.426,
Love,Keyshia Cole,The Way It Is,2005-01-01,27IHIRL8YMwsp9jilbQquV,0.691,0.517,116.672,
Love Is A Battlefield,Pat Benatar,The Collection,2001-01-01,4p1PizAGdglm2sVvPuFPWs,0.669,0.634,90.626,
Love,We Are Messengers,Power,2020-01-31,73cik4xfvTaCcUu2wPV47I,0.779,0.886,144.021,
LOVE YOU BETTER,Future,I NEVER LIKED YOU,2022-04-29,4XJRpBOG0bU3Nxnvam3FnC,0.709,0.357,75.494,
Love,Bertram Gosse,Easy Come,2023-10-08,0YX07RSzILbtLsY5J3yPWd,0.696,0.667,93.311,
Love Never Felt So Good,Michael Jackson,XSCAPE,2014-05-09,48td6xvpokdYwvbl3JIiXP,0.775,0.719,117.513,
LOVE,(G)I-DLE,I love,2022-10-17,6dmMXI9tVrDgFmxpjttZmF,0.853,0.747,104.99,
Love,Damdamgugu,Love,2021-06-18,5eDpB30zICt0Dkl13irQuY,0.708,0.434,97.935,
Fuck Love,XXXTENTACION,17,2017-08-25,7AQim7LbvFVZJE3O8TYgf2,0.797,0.533,131.036,
Love,Keyshia Cole,Love Songs For Her,2021-10-01,11da2dMQkeFZixxHZJYs6m,0.691,0.517,116.672,
This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002,6ECp64rv50XVz93WvxXMGF,0.712,0.862,95.051,
Love Don't Cost a Thing,Jennifer Lopez,J.Lo,2001-01-23,1fgvJXlcZ7uIddMpqsqw0L,0.786,0.842,97.577,
Loved by You,KIRBY,Loved by You,2016-04-08,5bYOsPMgWyQc94vtLz92ZH,0.634,0.175,78.619,
Love Myself,Hailee Steinfeld,HAIZ,2015-11-13,4cH7XOPBjVUD5Mwo9F2TVz,0.617,0.759,122.925,
California Love - Original Version,2Pac,Greatest Hits,1998-01-01,3ia3dJETSOllPsv3LJkE35,0.763,0.85,91.519,
My Love,Route 94,My Love,2014-02-28,4N1MFKjziFHH4IS3RYYUrU,0.813,0.616,119.977,
Love Changes (Everything),Climie Fisher,Everything,1988-03-14,1y748kOQshZECWk5MddfOv,0.624,0.868,111.143,
Love & War,Kodak Black,Back For Everything,2022-02-25,293mQGfVwgXIOdA1GpiwAt,0.762,0.649,145.09,
Love Come Down - Single Version,"Evelyn ""Champagne"" King","The Best Of Evelyn ""Champagne"" King",1990-04-09,2RCOWNCxDIphjhqTtkwtwR,0.88,0.395,117.16,
Love Runs Out,OneRepublic,Native,2014-01-01,3cOO5IQtOYs7huq4Z6lYfr,0.715,0.931,120.025,
Lovers In A Past Life (with Rag'n'Bone Man),Calvin Harris,96 Months,2024-08-08,2QMnxA6R1PD0dYyUi5AxZZ,0.752,0.793,129.992,
Love Is A Long Road,Tom Petty,Full Moon Fever,1989-01-01,4PJEK76V3A1S0XzZJuTWh7,0.64,0.622,116.334,
I Love It (feat. Charli XCX),Icona Pop,THIS IS... ICONA POP,2013-08-27,1rhXXcrYp9RRObN5gsmqCU,0.711,0.906,125.916,
LOVE AGAIN,The Kid LAROI,LOVE AGAIN,2023-01-27,4sx6NRwL6Ol3V6m9exwGlQ,0.584,0.455,107.055,
